Ticker,split,n_obs,first_target,last_target
AAPL,test,751,2023-01-03,2025-12-30
AAPL,train,965,2016-03-03,2019-12-31
AAPL,val,756,2020-01-02,2022-12-30
AMZN,test,751,2023-01-03,2025-12-30
AMZN,train,965,2016-03-03,2019-12-31
AMZN,val,756,2020-01-02,2022-12-30
GOOGL,test,751,2023-01-03,2025-12-30
GOOGL,train,965,2016-03-03,2019-12-31
GOOGL,val,756,2020-01-02,2022-12-30
META,test,751,2023-01-03,2025-12-30
META,train,965,2016-03-03,2019-12-31
META,val,756,2020-01-02,2022-12-30
MSFT,test,751,2023-01-03,2025-12-30
MSFT,train,965,2016-03-03,2019-12-31
MSFT,val,756,2020-01-02,2022-12-30
NVDA,test,751,2023-01-03,2025-12-30
NVDA,train,965,2016-03-03,2019-12-31
NVDA,val,756,2020-01-02,2022-12-30
ORCL,test,751,2023-01-03,2025-12-30
ORCL,train,965,2016-03-03,2019-12-31
ORCL,val,756,2020-01-02,2022-12-30
TSLA,test,751,2023-01-03,2025-12-30
TSLA,train,965,2016-03-03,2019-12-31
TSLA,val,756,2020-01-02,2022-12-30
