ticker,setting,model,n_test,rmse,avg_logscore,coverage_90,n_features,heldout_train_days_used,posterior_draws
AAPL,KSHOT60,ridge,751,0.01912846979428152,2.5637769955658856,0.8921438082556591,19,60,
AAPL,KSHOT60,bayes_hier,751,0.019126751328086968,2.5641475889941656,0.8921438082556591,10,60,100.0
AMZN,KSHOT60,ridge,751,0.022361592339605253,2.3601293344640877,0.8868175765645806,19,60,
AMZN,KSHOT60,bayes_hier,751,0.02383820062730491,2.265672088170502,0.8641810918774967,10,60,100.0
GOOGL,KSHOT60,ridge,751,0.02172109956500276,2.3529823970412793,0.8921438082556591,19,60,
GOOGL,KSHOT60,bayes_hier,751,0.021701649817173128,2.355740117294212,0.8948069241011984,10,60,100.0
META,KSHOT60,ridge,751,0.02541059503252593,2.197829982990741,0.9241011984021305,19,60,
META,KSHOT60,bayes_hier,751,0.025543223531167922,2.18912258058834,0.9214380825565912,10,60,100.0
MSFT,KSHOT60,ridge,751,0.017726432864685004,2.5507528215390067,0.8615179760319573,19,60,
MSFT,KSHOT60,bayes_hier,751,0.018689198969131116,2.4560403245768496,0.8242343541944075,10,60,100.0
NVDA,KSHOT60,ridge,751,0.032756777324172794,2.0053863501861735,0.9280958721704394,19,60,
NVDA,KSHOT60,bayes_hier,751,0.03347806271323033,1.9788162942683416,0.9267643142476698,10,60,100.0
ORCL,KSHOT60,ridge,751,0.028350437213061082,2.039913021068154,0.9041278295605859,19,60,
ORCL,KSHOT60,bayes_hier,751,0.028071872040087206,2.063223068919445,0.914780292942743,10,60,100.0
TSLA,KSHOT60,ridge,751,0.03915933150733407,1.8293094192864396,0.9201065246338216,19,60,
TSLA,KSHOT60,bayes_hier,751,0.0394149686523923,1.822881320659742,0.9174434087882823,10,60,100.0
