ticker,setting,model,n_test,rmse,avg_logscore,coverage_90,n_features,posterior_draws
AAPL,LOTO,ridge,751,0.019118176755108428,2.5648110198768523,0.8921438082556591,19,
AAPL,LOTO,bayes_hier,751,0.019090606916169456,2.576735412943044,0.8828229027962716,10,100.0
AMZN,LOTO,ridge,751,0.02237109921674009,2.360045860492851,0.8868175765645806,19,
AMZN,LOTO,bayes_hier,751,0.02341349284843337,2.308101829301548,0.8708388814913449,10,100.0
GOOGL,LOTO,ridge,751,0.021792581865604368,2.3494957155626537,0.8921438082556591,19,
GOOGL,LOTO,bayes_hier,751,0.021906906908079695,2.35420478075662,0.8881491344873502,10,100.0
META,LOTO,ridge,751,0.02539826657401184,2.19922634149919,0.9267643142476698,19,
META,LOTO,bayes_hier,751,0.025417848195599415,2.2025318770446334,0.9094540612516645,10,100.0
MSFT,LOTO,ridge,751,0.017815005644740704,2.543818508690666,0.8588548601864181,19,
MSFT,LOTO,bayes_hier,751,0.01835144455135778,2.5249956906441153,0.8521970705725699,10,100.0
NVDA,LOTO,ridge,751,0.032783261711851266,2.0039226343590837,0.9267643142476698,19,
NVDA,LOTO,bayes_hier,751,0.03317437168663881,1.9911795377356387,0.9161118508655126,10,100.0
ORCL,LOTO,ridge,751,0.02837841664144803,2.038977826488128,0.9041278295605859,19,
ORCL,LOTO,bayes_hier,751,0.02809815587755663,2.078482106059788,0.8921438082556591,10,100.0
TSLA,LOTO,ridge,751,0.039134870310740484,1.8299423522415292,0.9201065246338216,19,
TSLA,LOTO,bayes_hier,751,0.03934657265475431,1.8250073260207038,0.9081225033288948,10,100.0
