model,split,n,QLIKE,MSE_RV
egarch11_t,test,6008,-6.579851302860764,5.401094705399823e-06
gjr11_t,test,6008,-6.560225847561804,5.499659087739059e-06
garch11_t,test,6008,-6.555961369924335,5.619552578699896e-06
RollingVar20,test,6008,-6.399996767170382,5.658921846271433e-06
garch11_t,train,6024,-7.090009962551522,2.1090374008321508e-06
gjr11_t,train,6024,-7.0851569084374635,2.254707743301818e-06
RollingVar20,train,7720,-6.924295007991243,2.4402658096749456e-06
egarch11_t,train,6020,124894.9041173529,inf
egarch11_t,val,6048,-6.393110074564996,7.283424467388296e-06
garch11_t,val,6048,-6.371259024713976,7.3669200700622644e-06
gjr11_t,val,6048,-6.370376416813213,7.520274284784677e-06
RollingVar20,val,6048,-6.276944404547319,7.712868289759639e-06
