feature,importance
num__vix_level_lag1,0.09119360109323776
num__ret,0.07743197205566477
num__DGS10_lag1,0.07081242873885711
num__ret_lag3,0.07061616124216898
num__vix_ret_lag1,0.06840226094614975
num__ret_lag10,0.06183904647455568
num__ret_lag2,0.058491409416350906
num__ret_lag1,0.0581591954315789
num__ret_lag5,0.058079336138670265
num__SP500_lag1,0.05320220447870343
num__ret_vol20,0.05054249288266542
num__sp500_ret_lag1,0.04617778820588541
num__ret_vol5,0.045801310149791004
num__DGS10_diff_lag1,0.04467829435820148
num__mkt_ret_lag1,0.04259779139196411
num__ret_vol10,0.04056958223903086
num__DFF_lag1,0.026481609368365078
num__DFF_diff_lag1,0.018143049262793674
cat__Ticker_TSLA,0.0070827534280206595
cat__Ticker_NVDA,0.0057569732440546015
cat__Ticker_META,0.001223511774151196
cat__Ticker_AAPL,0.0007869598553114627
cat__Ticker_ORCL,0.0006305434503795223
cat__Ticker_AMZN,0.0005668006508812374
cat__Ticker_GOOGL,0.0004025532678681326
cat__Ticker_MSFT,0.00033037045469865267
