Ticker,level_1,target_ret
AAPL,mean,0.001003755637826955
AAPL,std,0.018212385935735292
AAPL,ann_vol,0.28911266380251577
AAPL,skew,-0.08186566193318097
AAPL,kurtosis,6.876196589382474
AAPL,p01,-0.04925605930929696
AAPL,p05,-0.02802204598847486
AAPL,p95,0.027961407977784472
AAPL,p99,0.0481965396866564
AMZN,mean,0.0008419746811767615
AMZN,std,0.02040742104262684
AMZN,ann_vol,0.3239577658738625
AMZN,skew,-0.009186436717205851
AMZN,kurtosis,5.282263653419179
AMZN,p01,-0.05602010084709469
AMZN,p05,-0.03109183368795847
AMZN,p95,0.03104509887414779
AMZN,p99,0.05619494433336471
GOOGL,mean,0.0008682150465928766
GOOGL,std,0.018160086771163313
GOOGL,ann_vol,0.2882824403031124
GOOGL,skew,-0.1983414592004305
GOOGL,kurtosis,4.643869199704993
GOOGL,p01,-0.05103372526194749
GOOGL,p05,-0.027669648330168425
GOOGL,p95,0.027441262645562715
GOOGL,p99,0.04987516337727915
META,mean,0.0007314522288387988
META,std,0.02433147287957658
META,ann_vol,0.38625015762763365
META,skew,-1.2440942378700126
META,kurtosis,26.220220013127303
META,p01,-0.06400624787102573
META,p05,-0.03452612476661128
META,p95,0.03295930930158329
META,p99,0.06297309093730241
MSFT,mean,0.0009488595888531045
MSFT,std,0.01678218312278235
MSFT,ann_vol,0.2664088979977647
MSFT,skew,-0.17737290672156025
MSFT,kurtosis,8.182640680300239
MSFT,p01,-0.0441874377902407
MSFT,p05,-0.026317717005032024
MSFT,p95,0.024357691995276484
MSFT,p99,0.045563956606115494
NVDA,mean,0.0022043463664088484
NVDA,std,0.031271349622583086
NVDA,ann_vol,0.49641728557625037
NVDA,skew,0.09428218888606214
NVDA,kurtosis,6.717638799338301
NVDA,p01,-0.07999476340575552
NVDA,p05,-0.04649347542016734
NVDA,p95,0.04953259122068399
NVDA,p99,0.07689540789644883
ORCL,mean,0.0007282002651498278
ORCL,std,0.020450582911659153
ORCL,ann_vol,0.3246429393033439
ORCL,skew,1.3916303948292539
ORCL,kurtosis,31.20580664372359
ORCL,p01,-0.05759297918413516
ORCL,p05,-0.027508853197497136
ORCL,p95,0.025835590333199928
ORCL,p99,0.0530958929631242
TSLA,mean,0.001451798240575025
TSLA,std,0.03726218218033898
TSLA,ann_vol,0.5915188041405569
TSLA,skew,-0.05962578164250507
TSLA,kurtosis,4.250883841511705
TSLA,p01,-0.09901590917431882
TSLA,p05,-0.0548887480077497
TSLA,p95,0.05880602930984581
TSLA,p99,0.1042877149113309
