alpha,val_RMSE_bps,val_MAE_bps
1000.0,294.38772944658746,198.6659176298404
231.0129700083158,295.1552989139403,199.2286868668744
53.366992312063125,295.602668056506,199.54290813962908
12.32846739442066,296.1087562286525,199.83036712617266
2.848035868435799,296.62298491124335,200.11346121770356
0.6579332246575682,296.8697486624597,200.25164979340565
0.1519911082952933,296.9419062380123,200.29172950701525
0.03511191734215131,296.9596138228508,200.30152153907594
0.008111308307896872,296.9637635534277,200.30381369849823
0.001873817422860383,296.9647253941168,200.3043448446107
0.0004328761281083057,296.9649477631165,200.3044676333927
0.0001,296.96499914239007,200.30449600384785
